payment_id,mode
1,laser
2,laser
3,diners-club-enroute
4,maestro
5,jcb
6,jcb
7,mastercard
8,jcb
9,visa-electron
10,china-unionpay
11,jcb
12,jcb
13,jcb
14,jcb
15,americanexpress
16,jcb
17,bankcard
18,bankcard
19,jcb
20,mastercard
21,jcb
22,diners-club-carte-blanche
23,jcb
24,mastercard
25,switch
26,diners-club-carte-blanche
27,jcb
28,switch
29,diners-club-enroute
30,jcb
31,diners-club-carte-blanche
32,china-unionpay
33,visa-electron
34,visa-electron
35,americanexpress
36,jcb
37,mastercard
38,laser
39,visa-electron
40,jcb
41,laser
42,jcb
43,china-unionpay
44,diners-club-carte-blanche
45,jcb
46,jcb
47,jcb
48,bankcard
49,china-unionpay
50,jcb
